beta,alpha,delta
0.47579,0.3665,0.015356
0.47108,0.22499,0.01018
0.4006,0.27926,0.026461000000000002
0.5013,0.18729,0.019329
0.49883999999999995,0.26409,0.038874
0.73407,0.24666,0.033641000000000004
0.22809000000000001,0.15119000000000002,0.043137
0.32075,0.19355,0.018940000000000002
0.49062,0.30154000000000003,0.01845
0.56096,0.22446999999999998,0.018941999999999997
0.396,0.25713,0.014418
0.35889,0.24545999999999998,0.043951
0.55769,0.32509,0.023284
0.46763999999999994,0.20940999999999999,0.02547
0.27707,0.222,0.047827999999999996
0.5579,0.40391,0.017248
0.7864899999999999,0.33086,0.034395
0.55865,0.11437,0.016273
0.47202,0.28096,0.032211000000000004
0.29988000000000004,0.22735999999999998,0.041929
0.28306,0.16439,0.041669
0.32684,0.25606999999999996,0.033663
0.41271,0.26897,0.031036
0.40244,0.19843,0.028991000000000003
0.44705,0.10583,0.042352
0.39037,0.2478,0.047656
0.38952,0.28867,0.044018
0.77408,0.38599,0.020130000000000002
0.18778,0.12727,0.036525
0.7548600000000001,0.6511399999999999,0.034765
0.33797,0.12767,0.041686
0.53415,0.38847,0.044218
0.7158,0.22358000000000003,0.047373
0.28198,0.20886,0.018283
0.46346000000000004,0.37277,0.026052999999999996
0.66855,0.21581,0.013077000000000002
0.39331,0.18824000000000002,0.037288999999999996
0.46901000000000004,0.28312,0.044598
0.51178,0.21827,0.042982
0.7628,0.5323100000000001,0.03615
0.52551,0.18713,0.040722
0.6146199999999999,0.17289000000000002,0.013796000000000001
0.25892,0.16214,0.036429
0.6362,0.13119,0.030170999999999996
0.77162,0.39443,0.029643
0.25764000000000004,0.15613,0.043680000000000004
0.31488,0.12959,0.029651999999999998
0.18844,0.11522,0.020658000000000003
0.6952,0.21855,0.049961
0.50516,0.34448,0.026855
0.64444,0.42126,0.04336
0.2299,0.13738,0.048175
0.34299,0.18600999999999998,0.010159999999999999
0.35094000000000003,0.2691,0.035382
0.52646,0.13067,0.031708
0.15822,0.10565999999999999,0.02661
0.25638,0.12415,0.030807
0.47167,0.17212,0.049522000000000004
0.21106,0.13742000000000001,0.011056
0.7296199999999999,0.5949800000000001,0.037211
0.6876800000000001,0.53759,0.010914
0.5512600000000001,0.43888,0.044811000000000004
0.52346,0.23012,0.038798
0.6066600000000001,0.15203,0.020956
0.62146,0.56403,0.040798
0.7901,0.3148,0.032208999999999995
0.49665,0.24452,0.031263
0.47862,0.17257999999999998,0.017136000000000002
0.22152,0.11231,0.045256
0.72916,0.36105,0.027096
0.48244,0.25911999999999996,0.024211
0.36618,0.24695,0.044174
0.60409,0.2489,0.040541
0.24376,0.14770999999999998,0.042852
0.52187,0.40862,0.033575
0.65589,0.54472,0.037702
0.74236,0.50646,0.046991000000000005
0.75574,0.20713,0.047198000000000004
0.32326,0.22758,0.033576999999999996
0.16391,0.10486,0.040035
0.6271399999999999,0.5274399999999999,0.020809
0.58349,0.47822,0.014808000000000002
0.62676,0.15715,0.017066
0.21397,0.13327,0.0181
0.19498,0.10432999999999999,0.026381
0.6232,0.15638,0.048985
0.20052,0.1469,0.013853
0.69189,0.30236,0.025985
0.37918,0.2419,0.044933
0.57184,0.25506999999999996,0.019236000000000003
0.20534000000000002,0.11922,0.028697000000000004
0.78761,0.24125,0.012996
0.78572,0.43388999999999994,0.045527
0.37806,0.14305,0.038465
0.58509,0.23251999999999998,0.025167
0.73741,0.38382,0.046598
0.7499399999999999,0.47626,0.03025
0.55676,0.30477,0.016188
0.35969,0.26181,0.04206
0.2511,0.15170999999999998,0.026067
0.78035,0.5324800000000001,0.033574
0.5261600000000001,0.34554,0.010081999999999999
0.54648,0.13806,0.028016000000000003
0.19285,0.13207,0.02642
0.5999,0.39629000000000003,0.040166
0.77283,0.43462,0.034817
0.60983,0.51378,0.028773000000000003
0.27776999999999996,0.15018,0.038275
0.66801,0.48335,0.041791
0.23836999999999997,0.12307,0.049583999999999996
0.48536999999999997,0.26668000000000003,0.027669
0.58229,0.26132,0.032727
0.30271,0.15822,0.014995
0.39785,0.15588,0.043056
0.5525800000000001,0.28373000000000004,0.034109
0.62449,0.30783,0.017911
0.18704,0.1047,0.030400999999999997
0.69939,0.41733000000000003,0.023497
0.48333999999999994,0.17554,0.036784
0.4117,0.3395,0.020708
0.17162,0.12065999999999999,0.035185
0.56342,0.42535,0.02925
0.33150999999999997,0.13707,0.038373000000000004
0.28495,0.18880999999999998,0.017227000000000003
0.43191,0.28289000000000003,0.040217
0.56389,0.36941999999999997,0.049056999999999996
0.61774,0.2948,0.042844
0.19159,0.13527,0.033485
0.42148,0.23728000000000002,0.012383
0.6864,0.29638000000000003,0.048395
0.48394,0.19105,0.046334
0.41311000000000003,0.33434,0.03369
0.4395,0.16128,0.023972999999999998
0.498,0.39915,0.033193
0.68901,0.34092,0.044521
0.6528,0.52504,0.039796
0.6426,0.22880999999999999,0.014453
0.6171300000000001,0.46602,0.013891999999999998
0.7983399999999999,0.57722,0.031982
0.22687,0.16619,0.031359
0.15016,0.10004,0.044563
0.29531,0.10645,0.038879000000000004
0.35253,0.26494,0.049227
0.7651600000000001,0.47007,0.029806
0.73183,0.55415,0.027217
0.7269899999999999,0.26966999999999997,0.022838999999999998
0.40912,0.21689,0.017397
0.23696,0.16663,0.013912
0.6834399999999999,0.5595399999999999,0.011569
0.25190999999999997,0.11327999999999999,0.04886
0.21123000000000003,0.14635,0.014224
0.19685,0.13666,0.034871
0.5456,0.16566,0.033407
0.27105999999999997,0.13787,0.010512
0.23542,0.14051,0.027548000000000003
0.6534,0.58609,0.022533
0.45,0.31785,0.039458
0.33144,0.1007,0.049326999999999996
0.25419,0.10532000000000001,0.013918999999999999
0.25964,0.20328,0.017628
0.2313,0.13878,0.017906000000000002
0.79091,0.49691,0.020151
0.72225,0.16477,0.032729
0.68448,0.41231999999999996,0.040576
0.44601,0.3273,0.024692
0.58091,0.18431,0.019931
0.56982,0.49386,0.045117000000000004
0.17043,0.11242,0.043854000000000004
0.51676,0.44859,0.023651
0.37955,0.30229,0.030049
0.41528000000000004,0.27053,0.036669
0.72287,0.42404,0.031923
0.77664,0.19933,0.027819
0.39809,0.18934,0.016781
0.6015699999999999,0.32681,0.014578
0.5719,0.32695,0.021971
0.64007,0.18479,0.034522000000000004
0.32132,0.21858000000000002,0.021949
0.25636,0.10882,0.030412
0.7439399999999999,0.22979000000000002,0.021034999999999998
0.49237,0.32854,0.013102
0.7883,0.37542,0.027110000000000002
0.7369,0.1602,0.017428
0.20352,0.12335,0.046786
0.47103999999999996,0.11270999999999999,0.035737
0.28715,0.1336,0.017287999999999998
0.7671600000000001,0.42132,0.037711
0.3721,0.26489,0.017296000000000002
0.41098,0.3359,0.048712
0.18517999999999998,0.12429000000000001,0.037427999999999996
0.6896800000000001,0.11077000000000001,0.03369
0.22208000000000003,0.12589,0.039306
0.41636999999999996,0.27737,0.011007
0.40123000000000003,0.26494,0.034275
0.49936,0.38373,0.031873
0.26743,0.10670999999999999,0.012379000000000001
0.70186,0.31416,0.027187
0.65037,0.59843,0.041575
0.57345,0.33887,0.040113
0.59407,0.18045999999999998,0.012736
0.6764899999999999,0.35714,0.022017
0.79274,0.31665,0.031389999999999994
0.43455,0.15077000000000002,0.012804
0.47352,0.14388,0.027451999999999997
0.37494,0.25775,0.012796
0.56706,0.35841,0.010401
0.5008100000000001,0.26394,0.022381
0.2289,0.14043,0.040023
0.57291,0.29264,0.016247
0.39694,0.19998,0.031310000000000004
0.31794,0.19397,0.011976
0.71858,0.52069,0.045676999999999995
0.60845,0.4201,0.013212
0.78927,0.73485,0.036433
0.35963,0.2038,0.026012
0.32078,0.12057000000000001,0.047326
0.62021,0.2442,0.034307
0.15238,0.10215,0.024672
0.75978,0.28623000000000004,0.047094
0.32864,0.12140999999999999,0.049679
0.56426,0.15267999999999998,0.014034999999999999
0.7076100000000001,0.3009,0.026174
0.63715,0.44247,0.049014
0.31225,0.10559,0.023994
0.618,0.55819,0.042124
0.41053999999999996,0.33407,0.012004
0.44772,0.17177,0.011353
0.62861,0.55466,0.049885000000000006
0.32426,0.14594000000000001,0.045438
0.69445,0.36622,0.011235
0.21921,0.1156,0.036322
0.52813,0.17969000000000002,0.018809
0.5379999999999999,0.3531,0.013267
0.60698,0.5551699999999999,0.014599
0.6723600000000001,0.5151899999999999,0.029967
0.22814,0.13716,0.041268
0.35235,0.2058,0.030883999999999998
0.41815,0.13854,0.015726
0.25506,0.10159,0.045663
0.4472,0.35420999999999997,0.011742
0.29558,0.1817,0.010824
0.45314,0.30204000000000003,0.031858
0.30741999999999997,0.15308,0.010452
0.67085,0.21581,0.019761
0.32509,0.10993,0.03173
0.49754,0.39765,0.046899
0.53028,0.25684,0.04877
0.40002,0.20060999999999998,0.049086000000000005
0.5727300000000001,0.47346000000000005,0.013981
0.38841,0.16258,0.011770000000000001
0.71086,0.19599,0.026514
0.45936000000000005,0.30929,0.016075
0.79911,0.26147,0.041416
0.2241,0.16438,0.031609
0.57623,0.40671,0.013238999999999999
0.79884,0.12222000000000001,0.01923
0.24525,0.12753,0.029435000000000003
0.74892,0.10694000000000001,0.019905000000000003
0.18154,0.12305,0.04952
0.16525,0.10327,0.018996000000000002
0.7702100000000001,0.59304,0.049341
0.29375999999999997,0.19694,0.018175999999999998
0.3845,0.31043000000000004,0.043191
0.27991,0.14537,0.02712
0.43186,0.10662999999999999,0.037138
0.43595,0.27752,0.035968
0.16983,0.11865,0.015438999999999998
0.76153,0.69955,0.025109
0.5503399999999999,0.28718,0.035883
0.7942100000000001,0.68577,0.041824
0.70427,0.46295,0.021991999999999998
0.58201,0.41113,0.048517000000000005
0.26855999999999997,0.19730999999999999,0.038193
0.25747,0.15913,0.011265
0.32652,0.15614,0.036604000000000005
0.72505,0.61855,0.037174
0.21811,0.11072,0.011689
0.6992,0.60834,0.012277
0.32931,0.13668,0.02087
0.29506,0.13567,0.014562
0.71323,0.43305,0.045284
0.57234,0.16119,0.040820999999999996
0.73056,0.3816,0.021772
0.36746999999999996,0.14964,0.032022
0.70634,0.18953,0.021263
0.63139,0.47306000000000004,0.030552
0.68203,0.35384,0.028933999999999998
0.48431,0.41722,0.011212
0.33978,0.17654,0.019218
0.68169,0.44968,0.036086
0.41508999999999996,0.19034,0.021269
0.6024,0.23446999999999998,0.037633
0.71509,0.26791,0.013418000000000001
0.40557,0.17143,0.038017
0.76148,0.18655,0.041632999999999996
0.24018,0.14595999999999998,0.016281
0.79651,0.27991,0.029996
0.20299,0.1363,0.04154
0.5925600000000001,0.40063000000000004,0.036699
0.31312,0.20988,0.012983000000000001
0.62478,0.57003,0.031684
0.54448,0.41446000000000005,0.01228
0.48816000000000004,0.24303000000000002,0.026662
0.59242,0.19037,0.02547
0.7954100000000001,0.32603000000000004,0.011743
0.5048,0.41443,0.015916
0.21988000000000002,0.10004,0.026504000000000003
0.68413,0.49295,0.034117
0.40085,0.16857,0.030294
0.76249,0.64247,0.031411
0.62903,0.39341,0.021254
0.25301999999999997,0.15217999999999998,0.036086
0.36272,0.22095,0.044476999999999996
0.74775,0.55713,0.045375
0.62174,0.26723,0.032493
0.19876,0.1055,0.032482
0.75252,0.24175,0.027114
0.19569,0.11425,0.036057
0.60401,0.23259000000000002,0.046432999999999995
0.21034,0.10853,0.044473
0.45197,0.18547,0.03765
0.5906899999999999,0.29247,0.033229
0.77742,0.10315999999999999,0.049321
0.6240100000000001,0.33526,0.011281999999999999
0.6640699999999999,0.12643,0.025263
0.37011,0.19945,0.047469
0.32897,0.22587,0.046105
0.50883,0.24329,0.038031
0.22011,0.14936,0.042934
0.45548999999999995,0.23973000000000003,0.020816
0.36976,0.16699999999999998,0.011895000000000001
0.6600199999999999,0.1033,0.026626
0.5998399999999999,0.33747,0.025534
0.56277,0.30093000000000003,0.025554
0.34097,0.21561,0.03282
0.67801,0.29668,0.036841000000000006
0.22223,0.13309,0.037217
0.70898,0.33147,0.033313
0.22993000000000002,0.16268,0.034116
0.51303,0.25311,0.028145
0.65032,0.45281000000000005,0.033352
0.35094000000000003,0.30056,0.044719
0.24641,0.14012,0.016454
0.60311,0.3169,0.045318000000000004
0.60132,0.33066,0.035948
0.59323,0.21143,0.030253
0.44223999999999997,0.37316,0.024169
0.67632,0.40796,0.020111
0.68618,0.29554,0.037957
0.59472,0.35391,0.035521
0.39693,0.10403,0.038783
0.68487,0.40109,0.040668
0.36871,0.28686,0.028738
0.45566,0.29661,0.047719
0.48085,0.40624,0.03403
0.47763,0.30922,0.010605
0.31729,0.21616999999999997,0.049227999999999994
0.1781,0.10580999999999999,0.014319
0.39049,0.21254,0.049591
0.7721600000000001,0.70705,0.030847000000000003
0.15695,0.1009,0.046169999999999996
0.40697,0.13864,0.039872000000000005
0.7293,0.30768,0.038595
0.60926,0.5342,0.019678
0.5414899999999999,0.38216,0.032005
0.78845,0.25545999999999996,0.013729
0.37244,0.16580999999999999,0.046380000000000005
0.30641999999999997,0.20811999999999997,0.011623
0.7208100000000001,0.54628,0.041685
0.68862,0.20606999999999998,0.029687
0.21316999999999997,0.11715999999999999,0.041898000000000005
0.47911000000000004,0.40886,0.010229
0.38031,0.13152,0.034565
0.46443,0.18694000000000002,0.041408999999999994
0.5795,0.47785,0.029949
0.52446,0.33003000000000005,0.044371
0.20176,0.13548,0.031943
0.7442,0.15949000000000002,0.048103
0.33057,0.26343,0.031848
0.48398,0.30226,0.031894
0.68371,0.51515,0.045337999999999996
0.55889,0.26716,0.040093000000000004
0.20775,0.14787999999999998,0.026664
0.58303,0.35749000000000003,0.048017000000000004
0.37374,0.16387000000000002,0.041934
0.23784,0.18599000000000002,0.047751999999999996
0.7588600000000001,0.33287,0.043608
0.43527,0.25576,0.041533999999999995
0.63668,0.52171,0.014633000000000002
0.18293,0.12712,0.012339
0.41934,0.10005,0.037972000000000006
0.47797,0.17464000000000002,0.032197
0.30688000000000004,0.22885999999999998,0.025749
0.44156000000000006,0.24605,0.031282
0.31887,0.22202,0.018643
0.29909,0.11479,0.025491
0.4316,0.12002,0.024723
0.44832,0.29613,0.039574
0.30996,0.12147999999999999,0.038038999999999996
0.67262,0.62068,0.0153
0.5916600000000001,0.2762,0.026806
0.16080999999999998,0.10732,0.030543
0.47551000000000004,0.30305,0.028755000000000003
0.77505,0.53045,0.039021
0.49016000000000004,0.15624000000000002,0.011343
0.58491,0.15689,0.022039
0.17935,0.12379000000000001,0.032049
0.66652,0.19517,0.047901
0.32429,0.11498,0.045702
0.19737000000000002,0.10091,0.021914
0.16835999999999998,0.10224,0.019413999999999997
0.21406999999999998,0.11965,0.029689999999999998
0.43828,0.33974,0.038168
0.73646,0.32439,0.029372000000000002
0.36323,0.23458,0.022949
0.42028999999999994,0.25277,0.023785
0.7471300000000001,0.45198999999999995,0.010712000000000001
0.66989,0.14439000000000002,0.021669
0.68192,0.13095,0.010443000000000001
0.42548,0.17328,0.048014999999999995
0.61143,0.4654,0.041691000000000006
0.52522,0.44714,0.04102
0.76775,0.58204,0.017093999999999998
0.43101000000000006,0.34499,0.016765000000000002
0.30296,0.12664,0.011448999999999999
0.16389,0.10195,0.023558000000000003
0.50336,0.35199,0.044811000000000004
0.41753999999999997,0.32234,0.045600999999999996
0.7986800000000001,0.70196,0.028402999999999998
0.40012,0.302,0.038148
0.24195999999999998,0.16685,0.048072000000000004
0.34215,0.10827,0.016353
0.41179,0.11665999999999999,0.018071
0.4786,0.36254000000000003,0.029084
0.46863999999999995,0.40669,0.033201
0.47503,0.26098000000000005,0.043306
0.69298,0.35823,0.033394
0.31140999999999996,0.17614000000000002,0.027868
0.70811,0.11205999999999999,0.045821
0.53092,0.39511999999999997,0.027573
0.4227,0.24656,0.024706
0.36434,0.16555999999999998,0.012334999999999999
0.61137,0.39285,0.013731
0.23368000000000003,0.10400999999999999,0.047133
0.72609,0.45825,0.026976
0.70562,0.24206,0.012528000000000001
0.5585399999999999,0.10814000000000001,0.010962999999999999
0.4333,0.24304,0.022042
0.21575999999999998,0.12863,0.016554
0.44558000000000003,0.25489,0.02565
0.52456,0.39378,0.031478
0.4834,0.19785,0.018571
0.34106,0.20152,0.028130000000000002
0.15165,0.10077,0.037665
0.6634,0.46301000000000003,0.03316
0.50662,0.39783,0.038171
0.62613,0.16627,0.033873
0.28981,0.22066,0.035466000000000004
0.28529,0.22489,0.010845
0.5925699999999999,0.47466,0.024311000000000003
0.15637,0.10128999999999999,0.049305
0.52336,0.3431,0.019393
0.44225,0.23724,0.028644
0.525,0.17318,0.026269999999999998
0.52512,0.26832,0.023665000000000002
0.77788,0.54713,0.027835000000000002
0.70344,0.30263,0.049908
0.17574,0.10720999999999999,0.014059
0.30214,0.13147,0.049755
0.71497,0.2006,0.034361
0.37598000000000004,0.1006,0.019087
0.21445,0.12044,0.025957
0.43166000000000004,0.15209,0.014805
0.22949,0.12913,0.034643
0.6262800000000001,0.44213,0.046015
0.77956,0.21725,0.042479
0.39773000000000003,0.27359,0.026311
0.62835,0.30839,0.031975
0.43136,0.17047,0.039513
0.3453,0.20683,0.046785
0.21115,0.12147000000000001,0.024652
0.4403,0.19985999999999998,0.021669
0.66618,0.29652,0.049117
0.23294,0.11141,0.036565
0.20425,0.10288,0.026679
0.17474,0.10533,0.033264
0.37308,0.10777,0.013736000000000002
0.76982,0.13394,0.012246
0.31819000000000003,0.10425,0.014662999999999999
0.45235,0.40134000000000003,0.047560000000000005
0.40819,0.16032000000000002,0.027616
0.7539600000000001,0.36335,0.029689
0.16382,0.10830999999999999,0.038985
0.19252,0.13978,0.042156
0.32946,0.27183,0.045774
0.26761,0.19105999999999998,0.026941000000000003
0.22621,0.12105,0.0486
0.7612899999999999,0.10779000000000001,0.042714
0.7611399999999999,0.24216999999999997,0.045321
0.40934,0.13459000000000002,0.024178
0.62203,0.35131,0.03127
0.1699,0.11485999999999999,0.027237
0.49385,0.17801,0.040211000000000004
0.32109,0.21234,0.03163
0.5855600000000001,0.39328,0.045663999999999996
0.24715,0.19285,0.010501
0.1827,0.11269000000000001,0.016521
0.34188,0.22173,0.044733999999999996
0.22839,0.13817000000000002,0.040496
0.26508000000000004,0.19738,0.04405
0.45965,0.11478,0.035312
0.49223,0.24681,0.043838
0.622,0.55529,0.031788
0.34142,0.168,0.044471
0.56197,0.35581999999999997,0.0372
